# room=440065813_vcom host=192.168.1.195 port=4901
[08:35:06.636][RX] 72782030  |  rx 0
[08:35:06.639][RX] 0d0d0a7b7b287278297d7b52783a44697361626c65647d7b49646c653a456e61  |  \r\r\n{{(rx)}{Rx:Disabled}{Idle:Ena
[08:35:06.640][RX] 626c65647d7b54696d653a343136333133363633357d7d0d0a  |  bled}{Time:4163136635}}\r\n
[08:35:06.645][RX] 3e20  |  > 
[08:35:11.400][RX] 74782032300d0d0a7b7b287478297d7b5061636b657454783a456e61626c65647d7b4e6f  |  tx 20\r\r\n{{(tx)}{PacketTx:Enabled}{No
[08:35:11.403][RX] 6e653a44697361626c65647d7b54696d653a343136373839383539387d7d0d0a  |  ne:Disabled}{Time:4167898598}}\r\n
[08:35:11.406][RX] 3e20  |  > 
[08:35:16.275][RX] 7b7b286170704d6f6465297d7b4e6f6e653a456e61626c65647d7b5061636b657454783a44697361626c65647d7b54696d653a343137323636313735347d7d0d0a7b7b287478456e64297d7b74785374617475733a436f6d706c6574657d7b7472616e736d69747465643a32307d7b6c617374547854696d653a343137323636313637317d7b74696d65506f733a367d7b6475726174696f6e55733a3230327d7b6c617374547853746172743a343137323636313436397d7b6363615375636365  |  {{(appMode)}{None:Enabled}{PacketTx:Disabled}{Time:4172661754}}\r\n{{(txEnd)}{txStatus:Complete}{transmitted:20}{lastTxTime:4172661671}{timePos:6}{durationUs:202}{lastTxStart:4172661469}{ccaSucce
[08:35:16.277][RX] 73733a307d7b6661696c65643a307d7b6c61737454785374617475733a30783030303030303030307d7b747852656d61696e3a307d7b697341636b3a46616c73657d7d0d0a  |  ss:0}{failed:0}{lastTxStatus:0x000000000}{txRemain:0}{isAck:False}}\r\n
[08:35:22.855][RX] 676574636861  |  getcha
[08:35:22.857][RX] 6e6e656c0d0d0a7b7b286765746368616e6e656c297d7b6368616e6e656c3a30  |  nnel\r\r\n{{(getchannel)}{channel:0
[08:35:22.860][RX] 7d7d0d0a3e20  |  }}\r\n> 
[08:35:28.578][RX] 68656c700d0d0a5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f  |  help\r\r\n_________________________
